33,PORTFOLIO,,,,,,,,,,,,,,,,,,,,Actualización: ,20/4/2026 10:48:07,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,IOL,IOL,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,Dolar MEP,Dolar CCL,,,,
,Argentina,,"YPF S.A. 8,25% Vto. 17/01/2034",YM34O,658,"$   1.521,1","USD  1,08",$   1.000.889,"USD  709,12",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,67,#N/A,#N/A,"USD  0,00",17/01/2034,#N/A
,Argentina,,YPF - Vto. 11/09/2031,YMCXO,600,"$   1.626,7","USD  1,11",$   976.021,"USD  665,90",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,102,#N/A,#N/A,"USD  19,50",11/09/2031,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"USD  8.964,19",,,,,#N/A,#N/A,,#N/A,,,,,,,"USD  65,76",,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,,,,,,
,CER,,,,,,"USD  5.142,74","USD  5.405,85","USD  263,11","5,12%",,,,,,,,,,,,,,,,
,RENTA FIJA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location,Industry,Company,Ticker,Shares,PPC CER,PPC USD,Invest ($),Invest (USD),PA CER,PA USD,TDY Change,TDY Change USD,Portf. Value ($),Capital (USD),Dif. ($),Dif. (USD),Dif. % ($),Rend. % (USD),TIR (%),DPT,TDY ON's D (%),TNA,I+A,Vencimiento,% Cartera
,Argentina,Bonos Soberanos,"DISCOUNT PESOS CER+5,83%",DICP,3053,"$   494,2","USD  0,35",$   1.508.646,"USD  1.072,05","$   511,5","USD  0,36","1,14%","1,47%",$   1.561.610,"USD  1.109,16",$   52.964,"USD  37,11","3,51%","3,46%",#REF!,34,"1,47%","37,16%","USD  0,00",2033,"20,52%"
,Argentina,Bonos Soberanos,BONCER 30/06/2027 CER 0%,TZX27,706,"$   356,2","USD  0,25",$   251.495,"USD  177,00","$   370,3","USD  0,26","0,61%","0,94%",$   261.397,"USD  185,66",$   9.902,"USD  8,66","3,94%","4,89%",#REF!,11,"0,94%","162,33%","USD  0,00",30/6/2027,"3,43%"
,Argentina,,BONCER 30/06/2028 CER 0%,TZX28,"11548,87","$   308,7","USD  0,22",$   3.564.559,"USD  2.514,30","$   323,0","USD  0,23","0,09%","0,42%",$   3.729.708,"USD  2.649,08",#N/A,"USD  134,78",#N/A,"5,36%","USD  0,00",68,"0,42%","28,77%","USD  0,00",30/6/2028,"49,00%"
,Argentina,,BONCER 15/12/2027 CER 0%,TZXD7,"7918,1","$   246,0","USD  0,17",$   1.948.079,"USD  1.379,39","$   260,0","USD  0,18","0,75%","1,08%",$   2.058.310,"USD  1.461,95",#N/A,"USD  82,56",#N/A,"5,98%","USD  0,00",84,"1,08%","26,01%","USD  0,00",15/12/2027,"27,04%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"USD  5.142,74",,,,,"$   7.611.023,66","USD  5.405,85",#VALUE!,"USD  263,11",,,"USD  0,00",,,,,,"100,00%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,,,,,,
,LETRAS + BONCAPS,,,,,,"USD  1.234,20","USD  1.297,30","USD  63,10","5,11%",,,,,,,,,,,,,,,,
,RENTA FIJA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,11-05-25,,,,,
,Location,Industry,Company,Ticker,Shares,PPC LETRAS + BONCAPS,PPC USD,Invest ($),Invest (USD),PA LETRAS + BONCAPS,PA USD,TDY Change,TDY Change USD,Portf. Value ($),Capital (USD),Dif. ($),Dif. (USD),Dif. % ($),Rend. % (USD),TIR (%),DPT,TDY ON's D (%),TNA,I+A,Vencimiento,% Cartera
,Argentina,Lecaps,Letras del Tesoro Cap. Vto. 15/01/2027,T15E7,7657,"$   131,3","USD  0,09",$   1.005.225,"USD  703,42","$   136,7","USD  0,10","0,99%","1,32%",$   1.046.329,"USD  743,17",$   41.104,"USD  39,75","4,09%","5,65%",#REF!,24,"1,32%","85,95%","USD  0,00",15/01/2027,"57,29%"
,Argentina,Boncap,Bono Tesoro Nacional Vto. 30/04/2027,T30A7,"6342,87","$   119,0","USD  0,08",$   754.499,"USD  530,78","$   123,0","USD  0,09","0,28%","0,61%",$   780.173,"USD  554,13",,"USD  23,35","3,40%","4,40%",,13,"0,61%","123,52%","USD  0,00",30/04/2027,"42,71%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"USD  1.234,20",,,,,"$   1.826.502,06","USD  1.297,30",$   821.277,"USD  63,10",,,,,,,,,"100,00%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total Investment,Portfolio Value,Profit (USD),Profit (%),,,,,,,,,,,,,,,,
,FONDOS COMUNES DE INVERSION,,,,,,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,
,RENTA FIJA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,11-05-25,,,,,
,Location,Industry,Company,Ticker,Shares,PPC FONDOS COMUNES DE INVERSION,PPC USD,Invest ($),Invest (USD),PA FONDOS COMUNES DE INVERSION,PA USD,TDY Change,TDY Change USD,Portf. Value ($),Capital (USD),Dif. ($),Dif. (USD),Dif. % ($),Rend. % (USD),TIR (%),DPT,TDY ON's D (%),TNA,I+A,Vencimiento,% Cartera
,Argentina,Fondos Comunes de Inversión,,ESTRA1A,0,#DIV/0!,#DIV/0!,$   0,"USD  0,00",#N/A,#N/A,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
